address,latitude,longitude,yelprating
211 W Monroe St,-112.0777,33.4518,3
745 E Tropicana Ave,-115.147634,36.100672,1
401 E Jefferson St,-112.0679,33.44624,2
511 W Adams St,-112.08085,33.44913,1
4010 N 3rd St,-112.070531,33.493309,0
201 E Jefferson St,-112.07134,33.44575,4
1402 E Buckeye Rd,-112.0481,33.42304,1
2415 E Camelback Rd,-112.028682,33.507962,4
1500 N Central Ave,-112.07417,33.46516,1
4675 E Cotton Center Blvd,-111.9799312,33.4034338,1
6724 W Lone Mountain Rd,-115.242753,36.248334,9
2410 Fire Mesa St,-115.2568104,36.2043032,1
401 N Buffalo Dr,-115.260662,36.1773414,0
4918 Evergreen Ave,-115.2081798,36.1633132,2
2055 W Lake Mead Blvd,-115.169206,36.1951759,0
250 Spectrum Blvd,-115.1017656,36.1646366,0
3595 S Highland Dr,-115.1816436,36.1239273,0
2330 Industrial Rd,-115.1643109,36.1458101,0
5761 S Fort Apache Rd,-115.299925,36.0835833,3
7155 Lindell Rd,-115.2187328,36.0594626,0
3660 Cinder Ln,-115.1814828,36.1230895,2
4270 E Sahara Ave,-115.081448,36.144685,1
450 Fremont St,-115.1410149,36.1697582,35
1181 Grier Dr,-115.1376834,36.067852,0
9777 Las Vegas Blvd S,-115.1752438,36.0112986,19
3570 S Las Vegas Blvd,-115.1768124,36.116264,4
3535 Las Vegas Blvd S,-115.1725544,36.1182124,79
850 E Desert Inn Rd,-115.1443096,36.13035,0
304 E Carson Ave,-115.143118,36.168323,2
2595 Fremont St,-115.114037,36.157436,1
200 Fremont St,-115.14314,36.1709822,19
4485 E Sahara Ave, Bldg 2,-115.077519,36.142724,0
4580 W Hacienda Ave,-115.203597,36.094005,1
4495 E Sahara Ave,-115.0766442,36.1439274,0
4210 Channel 10 Dr,-115.1206061,36.111854,0
4500 W Tropicana Ave,-115.20182,36.1031716,3
2950 Industrial Rd,-115.1730612,36.1361634,0
740 S Decatur Blvd,-115.2073684,36.1634752,3
3475 Las Vegas Strip,-115.1717918,36.1194502,10
4505 S Maryland Pkwy,-115.1394674,36.1050557,0
100 N City Pkwy,-115.1487087,36.1738945,3
3655 Las Vegas Blvd S,-115.1692051,36.1124135,2
680 Pilot Rd,-115.148864,36.068454,0
770 Pilot Rd,-115.145627,36.063533,0
3790 S Las Vegas Blvd,-115.175104,36.1024288,11
2305 N Buffalo Dr,-115.2618732,36.2020967,0
3900 Las Vegas Blvd S,-115.1764041,36.0950207,14
1221 S Casino Center Blvd,-115.152076,36.156343,8
2057 E Maule Ave,-115.125018,36.063176,0
950 Grier Dr,-115.141887,36.0690669,0
4428 E Sahara Ave,-115.0776607,36.1447838,0
3600 S Las Vegas Blvd,-115.1768547,36.1132774,9
1085 Palms Airport Dr,-115.1382825,36.0649715,0
2832 E Flamingo Rd,-115.1125241,36.1144248,1
2515 Industrial Rd,-115.165882,36.1430448,0
7660 W Cheyenne Ave,-115.2618865,36.2187756,7
840 Grier Dr,-115.1448615,36.0710901,0
3325 W Sunset Rd,-115.18452,36.0693825,0
835 E Desert Inn Rd,-115.145142,36.1292509,0
900 N Rancho Dr,-115.1783386,36.181537,1
2475 Arden St,-115.075174,36.144578,0
3131 S Las Vegas Blvd,-115.165927,36.1265302,10
850 Las Vegas Blvd N,-115.130373,36.179366,5
4575 Boulder Hwy,-115.0747872,36.1244673,0
4175 Cameron St,-115.2045537,36.1139975,1
6670 S Valley View Blvd,-115.188541,36.068744,0
1670 Pinto Ln,-115.1639075,36.165311,0
8345 W Sunset Rd,-115.2719157,36.0673883,1
13 E Ogden Ave,-115.1449829,36.172989,12
901 S Rampart Blvd,-115.2918752,36.1618849,2
151 Anasazi Dr,-115.3261924,36.1752809,0
3595 Las Vegas Blvd S,-115.1712946,36.1149362,17
3645 Las Vegas Blvd S,-115.1692585,36.113955,11
201 Sands Ave,-115.1660903,36.1211216,1
123 E Washington Ave,-115.1376442,36.1830793,0
3700 W Flamingo Rd,-115.1868499,36.1172424,2
12350 Far Hills Ave,-115.3574295,36.1834914,0
6883 Spencer St,-115.1283302,36.0647475,0
3150 Paradise Rd,-115.1508479,36.1318523,1
9090 Alta Dr,-115.291282,36.168849,9
4275 E Sahara Ave,-115.080632,36.14356,1
831 Pilot Rd,-115.1414992,36.0619816,0
2700 N Central Ave,-112.0738719,33.4776116,5
3549 Industrial Rd,-115.1777168,36.1247976,0
10845 W Desert Inn Rd,-115.3331667,36.128889,0
3436 Aldebaran Ave,-115.182197,36.12818,0
5555 E Van Buren St,-111.9615197,33.450875,0
10615 Park Run Dr,-115.326191,36.1602797,0
8040 Las Vegas Blvd S,-115.171096,36.043488,1
1702 W Charleston Blvd,-115.1637501,36.1598351,0
2880 S Las Vegas Blvd,-115.163492,36.1369239,5
1001 S Valley View Blvd,-115.1923437,36.1591366,2
1120 Shadow Ln,-115.165968,36.1578426,1
2020 Palomino Ln,-115.1706156,36.1628608,1
2000 S Las Vegas Blvd,-115.1563315,36.1472641,24
6580 Spencer St,-115.126711,36.069865,1
5925 Smoke Ranch Rd,-115.2225581,36.2029998,4
4045 Spencer St,-115.1287577,36.1161587,0
11405 W Alta Dr,-115.3470342,36.1704311,0
6811 Spencer St,-115.12879,36.0657,0
3300 Las Vegas Blvd S,-115.1726254,36.1248875,7
3401 Las Vegas Blvd S,-115.1709186,36.1228439,30
4700 W Oakey Blvd,-115.204761,36.152216,1
240 Spectrum Blvd,-115.10123,36.163896,0
6200 Spring Mountain Rd,-115.2271464,36.1258605,2
9145 Las Vegas Blvd S,-115.1735222,36.0241528,6
